ReturnId,SaleId,StoreId,ProductId,ReturnDate,Quantity,ReturnReason,RefundAmount
R001,TXN001,S001,P001,2026-03-05,3,Quality-Texture,17.97
R002,TXN004,S003,P001,2026-03-07,5,Quality-Texture,29.95
R003,TXN003,S002,P001,2026-03-06,2,Quality-Texture,11.98
R004,TXN007,S003,P001,2026-03-09,8,Quality-Texture,47.92
R005,TXN009,S001,P001,2026-03-11,6,Quality-Texture,35.94
R006,TXN002,S001,P002,2026-03-10,1,Customer-Preference,6.49
R007,TXN005,S001,P004,2026-03-12,2,Damaged-Packaging,10.98
R008,TXN004,S003,P001,2026-03-12,4,Quality-Texture,23.96
R009,TXN001,S001,P001,2026-03-13,5,Quality-Texture,29.95
R010,TXN007,S003,P001,2026-03-14,3,Quality-Texture,17.97
