SaleId,StoreId,ProductId,SaleDate,Quantity,TotalAmount,Channel
TXN001,S001,P001,2026-03-01,15,89.85,In-Store
TXN002,S001,P002,2026-03-01,8,51.92,In-Store
TXN003,S002,P001,2026-03-02,22,131.78,In-Store
TXN004,S003,P001,2026-03-03,18,107.82,Online
TXN005,S001,P004,2026-03-04,10,54.90,In-Store
TXN006,S004,P005,2026-03-05,12,71.88,Online
TXN007,S003,P001,2026-03-06,25,149.75,In-Store
TXN008,S005,P006,2026-03-07,7,48.93,In-Store
TXN009,S001,P001,2026-03-08,20,119.80,In-Store
TXN010,S002,P003,2026-03-09,14,69.86,Online
